codigo,linha,latitude,longitude
30536,5704A1,-22.845425,-43.30176
50307,42,-22.940998333333333,-43.37255666666667
27173,42,-22.848891666666667,-43.32245666666667
22017,5704A1,-22.95750333333333,-43.345475
10301,5704A1,-22.839405,-43.23992333333333
12740,42,-22.85432,-43.25161666666666
30540,42,-22.918651666666666,-43.36546333333333
44734,5704A1,-22.896761666666666,-43.351355
50310,5704A1,-22.839258333333333,-43.240135
27205,42,-22.837878333333332,-43.285133333333334
41433,5704A1,-22.973341666666666,-43.377625
10303,42,-22.855698333333333,-43.25565666666667
27202,42,-22.898573333333335,-43.35288
27191,42,-22.839503333333333,-43.23974666666667
22023,5704A1,-22.888615,-43.345985
47024,5704A1,-22.960236666666667,-43.38968833333333
30515,42,-22.842315,-43.27274333333333
27172,5704A1,-22.851005,-43.30999
13414,42,-22.95229,-43.348816666666664
27209,42,-22.847075,-43.24416166666666
44709,5704A1,-22.861061666666668,-43.35552666666667
47025,42,-22.949858333333335,-43.348076666666664
44702,5704A1,-22.897368333333333,-43.351791666666664
12743,5704A1,-23.000963333333335,-43.36527666666667
50303,5704A1,-22.841888333333333,-43.275551666666665
22027,5704A1,-22.957825,-43.34642166666666
12707,5704A1,-22.839743333333335,-43.239576666666665
10305,42,-22.839736666666667,-43.23963833333333
30511,42,-22.840015,-43.28200666666667
27168,5704A1,-22.887361666666667,-43.34500333333333
47012,42,-22.852955,-43.32002
10304,42,-22.84155833333333,-43.27930666666666
12705,5704A1,-22.841853333333333,-43.27452666666667
13424,5704A1,-23.000945,-43.36537
22009,5704A1,-22.976858333333332,-43.364913333333334
27201,5704A1,-23.001178333333332,-43.364441666666664
10306,42,-22.839038333333335,-43.240125
50302,42,-22.875655000000002,-43.33512666666667
10307,5704A1,-22.839225,-43.240105
13408,5704A1,-22.888185,-43.34565
30508,5704A1,-23.000851666666666,-43.36711666666667
12703,5704A1,-22.8547,-43.25194333333334
27206,42,-22.870785,-43.33584666666667
30536,5704A1,-22.845838333333333,-43.30222333333333
50307,42,-22.941738333333333,-43.372405
27173,42,-22.848891666666667,-43.32245666666667
22017,5704A1,-22.95750333333333,-43.345475
10301,5704A1,-22.839405,-43.23992333333333
12740,42,-22.85432,-43.25161666666666
30540,42,-22.91865333333333,-43.365478333333336
44734,5704A1,-22.896761666666666,-43.351355
50310,5704A1,-22.839258333333333,-43.240135
27205,42,-22.837878333333332,-43.285133333333334
41433,5704A1,-22.973286666666667,-43.380143333333336
10303,42,-22.854543333333332,-43.25415666666667
27202,42,-22.898573333333335,-43.35288
27191,42,-22.839503333333333,-43.23974666666667
22023,5704A1,-22.889313333333334,-43.34648
47024,5704A1,-22.963628333333332,-43.390335
30515,42,-22.842315,-43.27274333333333
27172,5704A1,-22.851138333333335,-43.310291666666664
13414,42,-22.95229,-43.348816666666664
27209,42,-22.847075,-43.24416166666666
44709,5704A1,-22.861061666666668,-43.35552666666667
47025,42,-22.949858333333335,-43.348076666666664
44702,5704A1,-22.898543333333333,-43.35285
12743,5704A1,-23.000963333333335,-43.36527666666667
50303,5704A1,-22.84196,-43.275798333333334
22027,5704A1,-22.957825,-43.34642166666666
12707,5704A1,-22.838908333333332,-43.240246666666664
10305,42,-22.839736666666667,-43.23963833333333
30511,42,-22.838798333333333,-43.28391333333333
27168,5704A1,-22.887361666666667,-43.34500333333333
47012,42,-22.853856666666665,-43.321601666666666
10304,42,-22.841473333333333,-43.27699
12705,5704A1,-22.848835,-43.2652
13424,5704A1,-23.000945,-43.36537
22009,5704A1,-22.973406666666666,-43.365008333333336
27201,5704A1,-23.001478333333335,-43.365975
10306,42,-22.83881,-43.24075333333333
50302,42,-22.878183333333332,-43.336575
10307,5704A1,-22.839225,-43.240105
13408,5704A1,-22.888185,-43.34565
30508,5704A1,-23.000851666666666,-43.36711666666667
12703,5704A1,-22.8547,-43.25194333333334
27206,42,-22.870396666666668,-43.335725
30536,5704A1,-22.860776666666666,-43.32982833333333
50307,42,-22.935411666666667,-43.37194
27173,42,-22.848891666666667,-43.32245666666667
22017,5704A1,-22.95750333333333,-43.345475
10301,5704A1,-22.839405,-43.23992333333333
12740,42,-22.85432,-43.25161666666666
30540,42,-22.934253333333334,-43.37223
44734,5704A1,-22.882595,-43.342055
50310,5704A1,-22.839258333333333,-43.240135
27205,42,-22.837878333333332,-43.285133333333334
41433,5704A1,-22.954608333333333,-43.37645666666667
10303,42,-22.83951,-43.23975
27202,42,-22.898573333333335,-43.35288
27191,42,-22.838771666666666,-43.240735
22023,5704A1,-22.915348333333334,-43.36113
47024,5704A1,-22.987878333333335,-43.365631666666665
30515,42,-22.842315,-43.27274333333333
27172,5704A1,-22.860743333333332,-43.32984833333333
13414,42,-22.95229,-43.348816666666664
27209,42,-22.855133333333335,-43.252588333333335
44709,5704A1,-22.861061666666668,-43.35552666666667
47025,42,-22.949858333333335,-43.348076666666664
44702,5704A1,-22.921665,-43.370891666666665
12743,5704A1,-23.000963333333335,-43.36527666666667
50303,5704A1,-22.852901666666668,-43.31295
22027,5704A1,-22.957825,-43.34642166666666
10305,42,-22.839736666666667,-43.23963833333333
30511,42,-22.849688333333333,-43.30772666666667
27168,5704A1,-22.887361666666667,-43.34500333333333
47012,42,-22.878118333333333,-43.33647333333333
10304,42,-22.857116666666666,-43.256883333333334
12705,5704A1,-22.842411666666667,-43.239048333333336
13424,5704A1,-23.000711666666668,-43.3646
22009,5704A1,-22.958821666666665,-43.384496666666664
27201,5704A1,-23.000683333333335,-43.36739166666667
10306,42,-22.854051666666667,-43.261145
50302,42,-22.8992,-43.353323333333336
10307,5704A1,-22.839225,-43.240105
13408,5704A1,-22.888185,-43.34565
30508,5704A1,-22.99183,-43.366
12703,5704A1,-22.8547,-43.25194333333334
27206,42,-22.849135,-43.307315
30536,5704A1,-22.936668333333333,-43.37173
50307,42,-22.857131666666668,-43.258606666666665
27173,42,-22.848891666666667,-43.32245666666667
22017,5704A1,-22.95750333333333,-43.345475
10301,5704A1,-22.848376666666667,-43.24550333333333
12740,42,-22.85432,-43.25161666666666
30540,42,-22.861398333333334,-43.33045833333333
50310,5704A1,-22.854696666666666,-43.250616666666666
27205,42,-22.84048,-43.297261666666664
10303,42,-22.881946666666668,-43.341775
27202,42,-22.898573333333335,-43.35288
27191,42,-22.904575,-43.356923333333334
22023,5704A1,-22.987325,-43.36568833333333
47024,5704A1,-22.915358333333334,-43.36134833333333
30515,42,-22.842315,-43.27274333333333
27172,5704A1,-22.958495,-43.38278833333333
13414,42,-22.949811666666665,-43.34793833333333
