codigo,linha,latitude,longitude
30536,5704A1,-22.839893333333332,-43.23940666666667
50307,42,-22.941176666666667,-43.372705
27173,42,-22.848891666666667,-43.32245666666667
22017,5704A1,-22.95750333333333,-43.345475
10301,5704A1,-22.958268333333333,-43.382275
12740,42,-22.85432,-43.25161666666666
30540,42,-22.919558333333335,-43.36700666666667
50310,5704A1,-22.943045,-43.37255666666667
27205,42,-22.851036666666666,-43.263355
10303,42,-22.84176666666667,-43.274375
27202,42,-22.898573333333335,-43.35288
27191,42,-22.846931666666666,-43.24348166666667
22023,5704A1,-22.857545,-43.257605
47024,5704A1,-22.89728,-43.351816666666664
30515,42,-22.842315,-43.27274333333333
27172,5704A1,-22.839573333333334,-43.239691666666666
13414,42,-22.949811666666665,-43.34793833333333
27209,42,-22.837728333333335,-43.29004833333333
44709,5704A1,-22.84979,-43.32340833333333
47025,42,-22.949858333333335,-43.348076666666664
44702,5704A1,-22.846123333333335,-43.30280333333333
12743,5704A1,-23.000963333333335,-43.36527666666667
50303,5704A1,-22.857353333333332,-43.257106666666665
22027,5704A1,-22.957825,-43.34642166666666
10305,42,-22.839736666666667,-43.23963833333333
30511,42,-22.837823333333333,-43.28950666666667
27168,5704A1,-22.887361666666667,-43.34500333333333
47012,42,-22.872753333333332,-43.336326666666665
10304,42,-22.84169,-43.27462833333333
12705,5704A1,-22.852758333333334,-43.314695
22009,5704A1,-22.996965,-43.365968333333335
27201,5704A1,-22.906995,-43.357795
10306,42,-22.8576,-43.25794666666667
50302,42,-22.893288333333334,-43.34880666666667
13408,5704A1,-22.888185,-43.34565
30508,5704A1,-22.972998333333333,-43.38253
12703,5704A1,-22.8547,-43.25194333333334
27206,42,-22.87046,-43.335775
30536,5704A1,-23.000708333333332,-43.365185
50307,42,-22.83945,-43.23977333333333
27173,42,-22.848891666666667,-43.32245666666667
22017,5704A1,-22.95750333333333,-43.345475
10301,5704A1,-22.855131666666665,-43.32348666666667
12740,42,-22.85432,-43.25161666666666
30540,42,-22.8379,-43.28523333333333
50310,5704A1,-22.95996,-43.38912333333333
27205,42,-22.861841666666667,-43.33087833333333
41433,5704A1,-22.839736666666667,-43.23952
10303,42,-22.913528333333332,-43.360548333333334
27202,42,-22.898573333333335,-43.35288
27191,42,-22.935101666666668,-43.37178
22023,5704A1,-22.955921666666665,-43.37824666666667
47024,5704A1,-22.870235,-43.33566666666667
30515,42,-22.842315,-43.27274333333333
27172,5704A1,-22.973483333333334,-43.379745
13414,42,-22.95229,-43.348816666666664
27209,42,-22.837728333333335,-43.29004833333333
44709,5704A1,-22.84979,-43.32340833333333
47025,42,-22.949858333333335,-43.348076666666664
44702,5704A1,-22.936815,-43.371948333333336
12743,5704A1,-23.000963333333335,-43.36527666666667
50303,5704A1,-23.000706666666666,-43.364803333333334
22027,5704A1,-22.957825,-43.34642166666666
10305,42,-22.839736666666667,-43.23963833333333
30511,42,-22.9115,-43.36038166666667
27168,5704A1,-22.887361666666667,-43.34500333333333
47012,42,-22.852423333333334,-43.317
10304,42,-22.879051666666665,-43.33759833333333
12705,5704A1,-22.936455,-43.37166
13424,5704A1,-22.843018333333333,-43.270421666666664
22009,5704A1,-22.839846666666666,-43.23945666666667
27201,5704A1,-22.848278333333333,-43.30609333333334
10306,42,-22.935535,-43.371809999999996
50302,42,-22.852956666666667,-43.313336666666665
10307,5704A1,-22.933105,-43.372755
13408,5704A1,-22.888185,-43.34565
30508,5704A1,-22.849255,-43.246426666666665
12703,5704A1,-22.8547,-43.25194333333334
27206,42,-22.846773333333335,-43.30399833333333
30536,5704A1,-22.87372166666667,-43.335726666666666
50307,42,-22.924723333333333,-43.37396833333333
27173,42,-22.848891666666667,-43.32245666666667
22017,5704A1,-22.95750333333333,-43.345475
10301,5704A1,-22.839405,-43.23992333333333
12740,42,-22.85432,-43.25161666666666
30540,42,-22.94098333333333,-43.37253666666667
44734,5704A1,-22.873915,-43.335696666666664
50310,5704A1,-22.839258333333333,-43.240135
27205,42,-22.84116,-43.276445
41433,5704A1,-22.93245,-43.373066666666666
10303,42,-22.83951,-43.23975
27202,42,-22.898573333333335,-43.35288
27191,42,-22.847018333333335,-43.24347
22023,5704A1,-22.921645,-43.370915
47024,5704A1,-23.001421666666666,-43.36592666666667
30515,42,-22.842315,-43.27274333333333
27172,5704A1,-22.87679,-43.33569166666667
13414,42,-22.95229,-43.348816666666664
27209,42,-22.852368333333335,-43.316075
44709,5704A1,-22.861061666666668,-43.35552666666667
47025,42,-22.949858333333335,-43.348076666666664
44702,5704A1,-22.930361666666666,-43.37325833333333
12743,5704A1,-23.000963333333335,-43.36527666666667
50303,5704A1,-22.852615,-43.3186
22027,5704A1,-22.957825,-43.34642166666666
10305,42,-22.839736666666667,-43.23963833333333
30511,42,-22.852683333333335,-43.31928833333333
27168,5704A1,-22.887361666666667,-43.34500333333333
47012,42,-22.892148333333335,-43.348145
10304,42,-22.849428333333332,-43.246651666666665
12705,5704A1,-22.839853333333334,-43.239405
13424,5704A1,-23.000711666666668,-43.3646
22009,5704A1,-22.939805,-43.37244833333333
27201,5704A1,-23.000683333333335,-43.36739166666667
10306,42,-22.84243,-43.27274
50302,42,-22.915858333333333,-43.361513333333335
10307,5704A1,-22.839225,-43.240105
13408,5704A1,-22.888185,-43.34565
30508,5704A1,-22.973356666666668,-43.37338166666667
12703,5704A1,-22.8547,-43.25194333333334
27206,42,-22.846331666666668,-43.303293333333336
30536,5704A1,-22.933963333333335,-43.372321666666664
50307,42,-22.851578333333332,-43.26309666666667
27173,42,-22.848891666666667,-43.32245666666667
22017,5704A1,-22.95750333333333,-43.345475
10301,5704A1,-22.853898333333333,-43.249035
12740,42,-22.85432,-43.25161666666666
30540,42,-22.862816666666667,-43.331736666666664
50310,5704A1,-22.854696666666666,-43.250616666666666
27205,42,-22.84048,-43.297261666666664
10303,42,-22.879868333333334,-43.34175833333333
27202,42,-22.898573333333335,-43.35288
27191,42,-22.904451666666667,-43.35678
22023,5704A1,-22.97844,-43.3656
47024,5704A1,-22.915358333333334,-43.36134833333333
30515,42,-22.842315,-43.27274333333333
27172,5704A1,-22.956658333333333,-43.37909333333333
13414,42,-22.949811666666665,-43.34793833333333
27209,42,-22.837728333333335,-43.29004833333333
44709,5704A1,-22.849845,-43.32338333333333
47025,42,-22.949858333333335,-43.348076666666664
44702,5704A1,-23.000961666666665,-43.36469
12743,5704A1,-23.000963333333335,-43.36527666666667
50303,5704A1,-22.897068333333333,-43.35162166666667
22027,5704A1,-22.957825,-43.34642166666666
10305,42,-22.839721666666666,-43.239655
30511,42,-22.932751666666668,-43.372995
27168,5704A1,-22.973356666666668,-43.379668333333335
10304,42,-22.857496666666666,-43.329225
12705,5704A1,-22.852473333333332,-43.316295
22009,5704A1,-22.85078,-43.3097
27201,5704A1,-22.900133333333333,-43.354065
10306,42,-22.94096,-43.37255
50302,42,-22.858641666666667,-43.329476666666665
13408,5704A1,-22.888185,-43.34565
30508,5704A1,-22.870513333333335,-43.335725
12703,5704A1,-22.8547,-43.25194333333334
27206,42,-22.850806666666667,-43.26367333333334
30536,5704A1,-22.897458333333333,-43.351911666666666
50307,42,-22.841918333333332,-43.29967166666667
27173,42,-22.848891666666667,-43.32245666666667
22017,5704A1,-22.95750333333333,-43.345475
10301,5704A1,-22.840851666666666,-43.297885
12740,42,-22.85432,-43.25161666666666
30540,42,-22.88889,-43.34634
50310,5704A1,-22.839956666666666,-43.23948
27205,42,-22.84048,-43.297261666666664
10303,42,-22.85275,-43.3197
27202,42,-22.898573333333335,-43.35288
27191,42,-22.871238333333334,-43.33588666666667
22023,5704A1,-22.936673333333335,-43.37173833333333
47024,5704A1,-22.952828333333333,-43.375098333333334
30515,42,-22.842315,-43.27274333333333
27172,5704A1,-22.91711,-43.36278
13414,42,-22.949811666666665,-43.34793833333333
27209,42,-22.837728333333335,-43.29004833333333
44709,5704A1,-22.84979,-43.32340833333333
